Dataset,Triggered / Total,B2 at t=10,KARAT at t=10,Gain at t=10,Mean Gain (triggered),Max Gain
CIC-IDS2018,4/6,0.655,0.753,0.098,0.0695,0.098
NSL-KDD,4/6,0.6222,0.9971,0.3748,0.3814,0.4133
