t,CKA,L2,Drop,Alert
0,0.8614262481360703,0.2659704442432558,0.000598237753404729,False
2,0.858641549830288,0.2670250759423962,0.003382936059187047,False
4,0.8530112732123016,0.26906825557761366,0.009013212677173366,False
6,0.8498949303417493,0.26866982156523306,0.012129555547725657,False
8,0.8436978084817772,0.2711637726162808,0.018326677407697778,True
10,0.8385842703399279,0.2716646511413084,0.023440215549547117,True
