seed,scenario,timestep,cka_drop,l2_drop,PAK_B1,PAK_B2,PAK_B3_L2,PAK_KARAT,PAK_B4_ORC
99,S3_cascading,6,0.0044,-0.005669,0.2627,0.904,0.904,0.908,0.9933
99,S3_cascading,8,0.0095,-0.010283,0.2627,0.8907,0.8907,0.8987,0.984
99,S3_cascading,10,0.0036,-0.019416,0.2627,0.872,0.872,0.8733,0.98
2024,S1_targeted,0,0.0,0.0,0.288,0.9387,0.9387,0.9387,0.9973
2024,S1_targeted,2,0.004,0.000715,0.288,0.9307,0.9307,0.9333,0.996
2024,S1_targeted,4,0.0161,0.002221,0.288,0.912,0.9813,0.932,0.9947
2024,S1_targeted,6,0.0354,0.004092,0.288,0.8733,0.9867,0.9267,0.9947
2024,S1_targeted,8,0.063,0.003879,0.288,0.812,0.9627,0.8933,0.9733
2024,S1_targeted,10,0.0916,-0.000405,0.288,0.6893,0.6893,0.8373,0.908
2024,S2_coordinated,0,0.0,0.0,0.288,0.9387,0.9387,0.9387,0.9973
2024,S2_coordinated,2,0.0018,-0.000183,0.288,0.932,0.932,0.932,0.9973
2024,S2_coordinated,4,0.0012,-0.00423,0.288,0.924,0.924,0.924,0.9933
2024,S2_coordinated,6,0.0044,-0.009986,0.288,0.9147,0.9147,0.916,0.988
2024,S2_coordinated,8,0.0053,-0.022061,0.288,0.8867,0.8867,0.8907,0.9853
2024,S2_coordinated,10,0.0201,-0.037452,0.288,0.8533,0.8533,0.86,0.936
2024,S3_cascading,0,0.0,0.0,0.288,0.9387,0.9387,0.9387,0.9973
2024,S3_cascading,2,0.0025,-0.000255,0.288,0.9333,0.9333,0.9333,0.996
2024,S3_cascading,4,0.0056,-0.001439,0.288,0.9227,0.9227,0.928,0.9947
2024,S3_cascading,6,0.0089,-0.004817,0.288,0.9,0.9,0.9107,0.9947
2024,S3_cascading,8,0.0055,-0.011268,0.288,0.8973,0.8973,0.9,0.9867
2024,S3_cascading,10,0.004,-0.018092,0.288,0.88,0.88,0.8827,0.98
