t,CKA,Alert,S_PAK,K_PAK,Recovered
0,0.8614262481360703,False,0.44733333333333336,0.44733333333333336,False
2,0.858641549830288,False,0.428,0.428,False
4,0.8530112732123016,False,0.4137777777777778,0.4137777777777778,False
6,0.8498949303417493,False,0.3904444444444444,0.3904444444444444,False
8,0.8436978084817772,True,0.37066666666666664,0.37422222222222223,True
10,0.8385842703399279,True,0.3557777777777778,0.3595555555555556,True
